dataset,model,split,horizon,n_obs,WAPE,RMSE,Bias,MASE_mean,wQL50,under_forecast_rate
A,ARIMA,test,0,1236.0,0.1066327405541892,4788.503753890319,-300.8363706191197,0.952214466534816,1646.5221428320808,0.5218446601941747
A,CATBOOST,test,0,14832.0,0.1162809837634124,5337.523417728467,-1238.8523081547037,1.0386015437967258,1795.5012087442258,0.5481391585760518
A,XGBOOST,test,0,14832.0,0.1173747583605852,5378.519153185373,-1040.790930903331,1.0321246263539556,1812.39024380187,0.5738942826321467
A,ETS,test,0,1236.0,0.1283093764943507,5949.9718923552355,-276.49045589969603,1.1221797827355988,1981.2322972564432,0.5169902912621359
A,SARIMA,test,0,1236.0,0.2173241917366471,13827.714808306917,554.065186428966,1.953623547085717,3355.7150646956375,0.4449838187702265
B,ARIMA,test,0,1236.0,0.1066327405541892,4788.503753890319,-300.8363706191197,0.952214466534816,1646.5221428320808,0.5218446601941747
B,XGBOOST,test,0,14832.0,0.1165231717415132,5349.681647694426,-1065.3745709103416,1.0257406764346122,1799.240846932256,0.5695118662351673
B,CATBOOST,test,0,14832.0,0.1196113744108909,5499.270615829088,-1244.5787897889863,1.084184835337556,1846.9259579990544,0.5490830636461704
B,ETS,test,0,1236.0,0.1283093764943507,5949.9718923552355,-276.49045589969603,1.1221797827355988,1981.2322972564432,0.5169902912621359
B,SARIMA,test,0,1236.0,0.2173241917366471,13827.714808306917,554.065186428966,1.953623547085717,3355.7150646956375,0.4449838187702265
C,CATBOOST,test,0,114480.0,0.1789736960077143,8385.58504545509,-1212.8083034744986,1.093427795341205,2702.876853484936,0.518929070580014
C,XGBOOST,test,0,114480.0,0.1824645178623319,8557.766048089552,-1051.732709475983,1.0799045329772037,2755.5955590877893,0.5290356394129979
